Col156_1_NC_009781 was removed because it failed filtering checks, so removing its metadata
Col3M_1_JX514065 was removed because it failed filtering checks, so removing its metadata
Col440II_1_CP023921 was removed because it failed filtering checks, so removing its metadata
Col8282_1_DQ995352 was removed because it failed filtering checks, so removing its metadata
ColE10_1_X01654 was removed because it failed filtering checks, so removing its metadata
ColKP3_1_JN205800 was removed because it failed filtering checks, so removing its metadata
ColRNAI_1_DQ298019 was removed because it failed filtering checks, so removing its metadata
Col_BS512__1_NC_010656 was removed because it failed filtering checks, so removing its metadata
Col_IMGS31__1_NC_011406 was removed because it failed filtering checks, so removing its metadata
Col_IRGK__1_AY543071 was removed because it failed filtering checks, so removing its metadata
Col_KPHS6__1_NC_016841 was removed because it failed filtering checks, so removing its metadata
Col_MG828__1_NC_008486 was removed because it failed filtering checks, so removing its metadata
Col_MGD2__1_NC_003789 was removed because it failed filtering checks, so removing its metadata
Col_MP18__1_NC_013652 was removed because it failed filtering checks, so removing its metadata
Col_SD853__1_NC_015392 was removed because it failed filtering checks, so removing its metadata
Col_VCM04__1_HM231165 was removed because it failed filtering checks, so removing its metadata
Col_YF27601__1_JF937655 was removed because it failed filtering checks, so removing its metadata
Col_Ye4449__1_FJ696405 was removed because it failed filtering checks, so removing its metadata
Col_pWES__1_DQ268764 was removed because it failed filtering checks, so removing its metadata
ColpVC_1_JX133088 was removed because it failed filtering checks, so removing its metadata
FIA_pBK30683__1_KF954760 was removed because it failed filtering checks, so removing its metadata
FII_pBK30683__1_KF954760 was removed because it failed filtering checks, so removing its metadata
IncA_1_FJ705807 was removed because it failed filtering checks, so removing its metadata
IncB_O_K_Z_1_CU928147 was removed because it failed filtering checks, so removing its metadata
IncB_O_K_Z_2_GU256641 was removed because it failed filtering checks, so removing its metadata
IncB_O_K_Z_3_GQ259888 was removed because it failed filtering checks, so removing its metadata
IncB_O_K_Z_4_FN868832 was removed because it failed filtering checks, so removing its metadata
IncC_1_JN157804 was removed because it failed filtering checks, so removing its metadata
IncFIA_1_AP001918 was removed because it failed filtering checks, so removing its metadata
IncFIA_HI1__1_AF250878 was removed because it failed filtering checks, so removing its metadata
IncFIB_AP001918__1_AP001918 was removed because it failed filtering checks, so removing its metadata
IncFIB_H89_PhagePlasmid__1_HG530657 was removed because it failed filtering checks, so removing its metadata
IncFIB_K__1_JN233704 was removed because it failed filtering checks, so removing its metadata
IncFIB_K__pCAV1099_114_CP011596 was removed because it failed filtering checks, so removing its metadata
IncFIB_S__1_FN432031 was removed because it failed filtering checks, so removing its metadata
IncFIB_pB171__1_AB024946 was removed because it failed filtering checks, so removing its metadata
IncFIB_pCTU1__1_FN543094 was removed because it failed filtering checks, so removing its metadata
IncFIB_pECLA__1_CP001919 was removed because it failed filtering checks, so removing its metadata
IncFIB_pENTAS01__1_CP003027 was removed because it failed filtering checks, so removing its metadata
IncFIB_pENTE01__1_CP000654 was removed because it failed filtering checks, so removing its metadata
IncFIB_pHCM2__1_AL513384 was removed because it failed filtering checks, so removing its metadata
IncFIB_pKPHS1__1_CP003223 was removed because it failed filtering checks, so removing its metadata
IncFIB_pLF82_PhagePlasmid__1_CU638872 was removed because it failed filtering checks, so removing its metadata
IncFIB_pN55391__1_CP016411 was removed because it failed filtering checks, so removing its metadata
IncFIB_pNDM_Mar__1_JN420336 was removed because it failed filtering checks, so removing its metadata
IncFIB_pQil__1_JN233705 was removed because it failed filtering checks, so removing its metadata
IncFIC_FII__1_AP001918 was removed because it failed filtering checks, so removing its metadata
IncFII_1_AY458016 was removed because it failed filtering checks, so removing its metadata
IncFII_29__1_CP003035 was removed because it failed filtering checks, so removing its metadata
IncFII_K__1_CP000648 was removed because it failed filtering checks, so removing its metadata
IncFII_SARC14__1_JQ418540 was removed because it failed filtering checks, so removing its metadata
IncFII_S__1_CP000858 was removed because it failed filtering checks, so removing its metadata
IncFII_Serratia__1_NC_009829 was removed because it failed filtering checks, so removing its metadata
IncFII_Y__1_CP001049 was removed because it failed filtering checks, so removing its metadata
IncFII_Yp__1_CP000670 was removed because it failed filtering checks, so removing its metadata
IncFII_p14__1_JQ418538 was removed because it failed filtering checks, so removing its metadata
IncFII_p96A__1_JQ418521 was removed because it failed filtering checks, so removing its metadata
IncFII_pAMA1167_NDM_5__1_CP024805 was removed because it failed filtering checks, so removing its metadata
IncFII_pCRY__1_NC_005814 was removed because it failed filtering checks, so removing its metadata
IncFII_pCTU2__1_FN543095 was removed because it failed filtering checks, so removing its metadata
IncFII_pCoo__1_CR942285 was removed because it failed filtering checks, so removing its metadata
IncFII_pECLA__1_CP001919 was removed because it failed filtering checks, so removing its metadata
IncFII_pENTA__1_CP003027 was removed because it failed filtering checks, so removing its metadata
IncFII_pHN7A8__1_JN232517 was removed because it failed filtering checks, so removing its metadata
IncFII_pKP91__1_CP000966 was removed because it failed filtering checks, so removing its metadata
IncFII_pKPX1__1_AP012055 was removed because it failed filtering checks, so removing its metadata
IncFII_pMET__1_EU383016 was removed because it failed filtering checks, so removing its metadata
IncFII_pRSB107__1_AJ851089 was removed because it failed filtering checks, so removing its metadata
IncFII_pSE11__1_AP009242 was removed because it failed filtering checks, so removing its metadata
IncFII_pSFO__1_AF401292 was removed because it failed filtering checks, so removing its metadata
IncFII_pYVa12790__1_AY150843 was removed because it failed filtering checks, so removing its metadata
IncFII_pseudo__1_NC_011759 was removed because it failed filtering checks, so removing its metadata
IncHI1A_1_AF250878 was removed because it failed filtering checks, so removing its metadata
IncHI1A_NDM_CIT__1_JX182975 was removed because it failed filtering checks, so removing its metadata
IncHI1B_R27__1_AF250878 was removed because it failed filtering checks, so removing its metadata
IncHI1B_pNDM_CIT__1_JX182975 was removed because it failed filtering checks, so removing its metadata
IncHI1B_pNDM_MAR__1_JN420336 was removed because it failed filtering checks, so removing its metadata
IncHI2A_1_BX664015 was removed because it failed filtering checks, so removing its metadata
IncHI2_1_BX664015 was removed because it failed filtering checks, so removing its metadata
IncI1_I_gamma__1_AP005147 was removed because it failed filtering checks, so removing its metadata
IncI2_1_KP347127 was removed because it failed filtering checks, so removing its metadata
IncI2_Delta__1_AP002527 was removed because it failed filtering checks, so removing its metadata
IncI_Gamma_1_AP011954 was removed because it failed filtering checks, so removing its metadata
IncL_1_JN626286 was removed because it failed filtering checks, so removing its metadata
IncM1_1_U27345 was removed because it failed filtering checks, so removing its metadata
IncM2_1_AF550415 was removed because it failed filtering checks, so removing its metadata
IncN2_1_JF785549 was removed because it failed filtering checks, so removing its metadata
IncN3_1_EF219134 was removed because it failed filtering checks, so removing its metadata
IncN_1_AY046276 was removed because it failed filtering checks, so removing its metadata
IncP1_1_BN000925 was removed because it failed filtering checks, so removing its metadata
IncP1_2_U67194 was removed because it failed filtering checks, so removing its metadata
IncP1_3_KX377410 was removed because it failed filtering checks, so removing its metadata
IncP6_1_JF785550 was removed because it failed filtering checks, so removing its metadata
IncQ1_1_M28829 was removed because it failed filtering checks, so removing its metadata
IncQ2_1_FJ696404 was removed because it failed filtering checks, so removing its metadata
IncR_1_DQ449578 was removed because it failed filtering checks, so removing its metadata
IncT_1_AP004237 was removed because it failed filtering checks, so removing its metadata
IncU_1_DQ401103 was removed because it failed filtering checks, so removing its metadata
IncW_1_EF633507 was removed because it failed filtering checks, so removing its metadata
IncX1_1_EU370913 was removed because it failed filtering checks, so removing its metadata
IncX1_2_CP003417 was removed because it failed filtering checks, so removing its metadata
IncX1_3_CP001123 was removed because it failed filtering checks, so removing its metadata
IncX1_4_JN935898 was removed because it failed filtering checks, so removing its metadata
IncX2_1_JQ269335 was removed because it failed filtering checks, so removing its metadata
IncX3_1_JN247852 was removed because it failed filtering checks, so removing its metadata
IncX3_pEC14__1_JN935899 was removed because it failed filtering checks, so removing its metadata
IncX4_1_CP002895 was removed because it failed filtering checks, so removing its metadata
IncX4_2_FN543504 was removed because it failed filtering checks, so removing its metadata
IncX5_1_JX193302 was removed because it failed filtering checks, so removing its metadata
IncX5_2_MF062700 was removed because it failed filtering checks, so removing its metadata
IncX9_1_NC_010257 was removed because it failed filtering checks, so removing its metadata
IncY_1_K02380 was removed because it failed filtering checks, so removing its metadata
