AAA21117.VFG043885_gi_436833_.Bacillus_thuringiensis_subspecies_kumamotoensis_str._PS50C_a_ was removed because it failed filtering checks, so removing its metadata
AAA21118.VFG043887_gi_436835_.Bacillus_thuringiensis_subspecies_kumamotoensis_str._PS50C_b_ was removed because it failed filtering checks, so removing its metadata
AAA21120.VFG043881_gi_436839_.Bacillus_thuringiensis_subspecies_dakota_str._HD511 was removed because it failed filtering checks, so removing its metadata
AAA22336.VFG043867_gi_142734_.Bacillus_thuringiensis was removed because it failed filtering checks, so removing its metadata
AAA68598.VFG043877_gi_862637_.Bacillus_thuringiensis_str._PS86Q3 was removed because it failed filtering checks, so removing its metadata
AAC61891.VFG043925_gi_3668333_.Bacillus_thuringiensis_serovar_jegathesan was removed because it failed filtering checks, so removing its metadata
ABB77402.VFG042224_gi_82470750_.Pantoea_stewartii_subsp._stewartii_str._SS104 was removed because it failed filtering checks, so removing its metadata
APH_0030_.VFG045389_gi_3931140_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0076_.VFG045390_gi_3930948_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0115_.VFG045391_gi_3930770_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0132_.VFG045392_gi_3930886_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0134_.VFG045393_gi_3930751_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0143_.VFG045394_gi_3930972_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0214_.VFG045395_gi_3930120_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0318_.VFG045398_gi_3930988_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0632_.VFG045359_gi_3931043_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0900_.VFG045401_gi_3930073_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0902_.VFG045402_gi_3930288_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0934_.VFG045403_gi_3930718_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0935_.VFG045404_gi_3930860_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0936_.VFG045405_gi_3930329_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0951_.VFG045406_gi_3931079_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0953_.VFG045407_gi_3930102_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0980_.VFG045408_gi_3931139_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_0981_.VFG045409_gi_3930855_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1018_.VFG045410_gi_3930880_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1063_.VFG045411_gi_3931020_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1064_.VFG045412_gi_3931155_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1065_.VFG045413_gi_3930852_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1077_.VFG045414_gi_3929974_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1078_.VFG045415_gi_3930879_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1080_.VFG045416_gi_3930058_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1081_.VFG045417_gi_3930591_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1082_.VFG045418_gi_3930210_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1115_.VFG045419_gi_3930271_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
